product_id,product_size,product_title,product_upc,productlink_id,productlink_buyprice,productlink_presale,productlink_price
4712,3 ea,Store Brand Premium Facial Tissue Travel Pack 3 pk ,,10817,0.99,7.49,1.19
4713,3 ea,Store Brand Premium Facial Tissue Upright Box 3 pack/86 ct ,,10818,3.49,7.49,4.19
4714,86 ea,Store Brand Premium Facial Tissue Upright Box 86 ct ,,10819,1.34,7.49,1.61
4715,66 ea,Store Brand Premium Facial Tissue with Lotion Upright Box 66 ct ,,10820,1.34,7.49,1.61
4771,6 ea,Store Brand Premium Paper Towels 6 Big Rolls ,,10876,7.29,7.49,9.4
4772,2 ea,Store Brand Premium Paper Towels Create-a-Size 2 Giant Rolls ,,10877,3.49,7.49,4.5
4816,54 ea,"Store Brand Printed Kids Paper Plates 9"" 54 ct ",,10920,2.49,7.49,2.96
4817,38 ea,Store Brand Printed Paper Bowls 12 oz 38 ct ,,10921,2.49,7.49,2.96
4818,28 ea,"Store Brand Printed Paper Plates 10-1/4"" 28 ct ",,10922,2.49,7.49,2.96
4819,60 ea,"Store Brand Printed Paper Plates 7"" 60 ct ",,10923,2.49,7.49,2.96
4820,54 ea,"Store Brand Printed Paper Plates 9"" 54 ct ",,10924,2.49,7.49,2.96
4821,54 ea,"Store Brand Printed Seasonal Paper Plates 9"" 54 ct ",,10925,2.49,7.49,2.96
3823,16 oz,Store Brand Probiotic Blueberry Yogurt ,,9942,2.19,7.49,2.74
3824,16 oz,Store Brand Probiotic Peach Yogurt ,,9943,2.19,7.49,2.74
3825,16 oz,Store Brand Probiotic Strawberry Yogurt ,,9944,2.19,7.49,2.74
3826,16 oz,Store Brand Probiotic Vanilla Yogurt ,,9945,2.19,7.49,2.74
151,64 OZ BTL,Store Brand Prune Juice,,6224,2.82,7.49,3.39
4163,28 oz,Store Brand Quickie Crinkle Fries Frozen ,,10260,2.49,7.49,2.99
899,4 ct,Store Brand Radiance Cartridge Refills ,,6973,6.39,7.49,8.31
900,3 ct,Store Brand Radiance Sensitive Skin Womens Razors ,,6974,4.39,7.49,5.71
4371,5 qt,Store Brand Rainbow Sherbet ,,10468,5.99,7.49,7.19
4372,32 oz,Store Brand Rainbow Sherbet ,,10469,1.69,7.49,2.03
2663,20 oz,Store Brand Raisin Bran Cereal ,,8789,2.37,7.49,2.96
4373,32 oz,Store Brand Raspberry Sherbet ,,10470,1.69,7.49,2.03
901,10 ea,Store Brand Razors; Rubber Grip; Twin Blade; For Women ,,6975,4.29,7.49,5.58
5807,15.5 OZ CAN,Store Brand Red Beans,,11892,0.95,7.49,1.23
3362,16 oz,Store Brand Regular Shredded Mozzarella ,,9481,3.79,7.49,4.55
4164,26 oz,Store Brand Restaurant Style Fries Frozen ,,10261,2.49,7.49,2.99
1481,17 oz,Store Brand Rolls Cinnamon 5 Count ,,7555,3.29,7.49,4.05
508,12 oz can,Store Brand Root Beer,,6582,2.58,7.49,3.19
462,2 LTR BTL,Store Brand Root Beer,,6536,0.78,7.49,1.29
152,64 OZ BTL,Store Brand Ruby Red Grapefruit Juice,,6225,1.86,7.49,2.39
2988,16 oz box,Store Brand Saltines,,9108,1.89,7.49,2.4
2989,16 oz box,Store Brand Saltines - Unsalted,,9109,1.89,7.49,2.4
4374,5 qt,Store Brand Scooperman Ice Cream ,,10471,5.99,7.49,7.19
4165,32 oz,Store Brand Seasoned Fries ,,10262,2.49,7.49,2.99
1423,12 oz,Store Brand Seeded Hamburger Buns 8 ct ,,7497,1.49,7.49,1.82
1154,24 oz,Store Brand Sensitive Skin Moisture Body Wash ,,7228,4.99,7.49,6.24
3363,8 oz,Store Brand Sharp Cheddar Regular Shredded ,,9482,2.42,7.49,2.9
1155,24 oz,Store Brand Shea for Extra Dry Skin Body Wash ,,7229,4.99,7.49,6.24
4375,32 oz,Store Brand Sherbet Lemonberry Twist ,,10472,1.69,7.49,2.03
4376,32 oz,Store Brand Sherbet Lime ,,10473,1.69,7.49,2.03
4377,32 oz,Store Brand Sherbet Pineapple ,,10474,1.69,7.49,2.03
4166,32 oz,Store Brand Shoestring French Fried Potatoes ,,10263,2.49,7.49,2.99
3364,8 oz,Store Brand Shredded Cheddar Cheese ,,9483,2.42,7.49,2.9
3365,12 oz,Store Brand Shredded Mozzarella ,,9484,3.59,7.49,4.31
3366,32 oz,Store Brand Shredded Mozzarella ,,9485,7.59,7.49,9.11
3367,8 oz,Store Brand Shredded Mozzarella Cheese 8 Ounces ,,9486,2.42,7.49,2.9
3368,6 oz,Store Brand Shredded Swiss Cheese ,,9487,2.42,7.49,2.9
3400,8 oz,Store Brand Sliced Cheddar Cheese ,,9519,2.69,7.49,3.58
3401,8 oz,Store Brand Sliced Colby Jack Natural Cheese ,,9520,2.69,7.49,3.58
3402,8 oz,Store Brand Sliced Mozzarella Natural Cheese ,,9521,2.69,7.49,3.58
3403,8 oz,Store Brand Sliced Muenster Cheese ,,9522,2.69,7.49,3.58
3404,8 oz,Store Brand Sliced Natural Pepper Jack Cheese ,,9523,2.69,7.49,3.58
3405,8 oz,Store Brand Sliced Provolone Cheese ,,9524,2.69,7.49,3.58
3406,8 oz,Store Brand Sliced Swiss Cheese ,,9525,2.69,7.49,3.58
3407,8 oz,Store Brand Slicede Colby Cheese ,,9526,2.69,7.49,3.58
902,4 ct,Store Brand Solaris Disposable Razor ,,6976,4.39,7.49,5.71
3671,8 oz,Store Brand Sour Cream ,,9790,0.82,7.49,1.03
3672,16 oz,Store Brand Sour Cream ,,9791,1.24,7.49,1.55
3673,24 oz,Store Brand Sour Cream ,,9792,2.49,7.49,3.11
3674,16 oz,Store Brand Sour Cream; Fat Free ,,9793,1.24,7.49,1.55
3675,16 oz,Store Brand Sour Cream; Light ,,9794,1.24,7.49,1.55
5922,15 oz can,Store Brand Spaghetti & Meatballs,,12007,0.94,7.49,1.21
5921,15 oz can,Store Brand Spaghetti Rings,,12006,0.94,7.49,1.21
5892,14.5 OZ CAN,Store Brand Spinach - Whole Leaf,,11977,1,7.49,1.29
4167,24 oz,Store Brand Steak Fries ,,10264,2.49,7.49,2.99
5840,14.5 oz can,Store Brand Stewed Tomatoes,,11925,1,7.49,1.29
5147,28 ct,Store Brand Streak Free Glass and Surface Wipes ,,11255,1.99,7.49,2.43
4745,100 ea,Store Brand Strong Premium All Occasion Napkins 100 ct ,,10850,1.62,7.49,2.03
4746,40 ea,Store Brand Strong Premium Dinner Napkins 40 ct ,,10851,1.62,7.49,2.03
4463,4 ea,Store Brand Sundae Cones ,,10560,3.79,7.49,4.55
4464,4 ea,Store Brand Sundae Cones; Fudge ,,10561,3.79,7.49,4.55
